time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-06 00:00:00+00:00,0,0,5,1
2023-09-11 00:00:00+00:00,1,1,0,0
2023-09-19 00:00:00+00:00,12,7,0,0
2023-09-20 00:00:00+00:00,10,6,4,1
2023-09-21 00:00:00+00:00,3,2,0,0
2023-09-22 00:00:00+00:00,3,2,0,0
2023-09-23 00:00:00+00:00,2,2,0,0
2023-09-24 00:00:00+00:00,1,1,0,0
2023-09-25 00:00:00+00:00,2,2,0,0
2023-09-26 00:00:00+00:00,1,1,0,0
2023-09-27 00:00:00+00:00,1,1,0,0
2023-09-28 00:00:00+00:00,1,1,0,0
2023-09-29 00:00:00+00:00,1,1,7,1
2023-09-30 00:00:00+00:00,1,1,0,0
2023-10-01 00:00:00+00:00,1,1,0,0
2023-10-02 00:00:00+00:00,3,3,2,1
2023-10-03 00:00:00+00:00,1,1,0,0
2023-10-04 00:00:00+00:00,1,1,0,0
2023-10-05 00:00:00+00:00,1,1,0,0
2023-10-06 00:00:00+00:00,1,1,0,0
2023-10-07 00:00:00+00:00,6,2,0,0
2023-10-08 00:00:00+00:00,1,1,0,0
2023-10-09 00:00:00+00:00,3,3,0,0
2023-10-10 00:00:00+00:00,6,4,6,1
2023-10-11 00:00:00+00:00,1,1,0,0
2023-10-12 00:00:00+00:00,4,2,0,0
2023-10-13 00:00:00+00:00,1,1,0,0
2023-10-14 00:00:00+00:00,1,1,0,0
2023-10-15 00:00:00+00:00,1,1,0,0
2023-10-16 00:00:00+00:00,2,2,1,1
2023-10-17 00:00:00+00:00,3,2,2,2
2023-10-18 00:00:00+00:00,1,1,1,1
2023-10-19 00:00:00+00:00,0,0,1,1
