time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,30,8,4,3
2026-04-12 00:00:00+00:00,17,7,0,0
2026-04-13 00:00:00+00:00,19,7,15,2
2026-04-14 00:00:00+00:00,38,12,1,1
2026-04-15 00:00:00+00:00,29,11,0,0
2026-04-16 00:00:00+00:00,8,3,0,0
2026-04-17 00:00:00+00:00,24,7,6,1
2026-04-18 00:00:00+00:00,13,8,0,0
2026-04-19 00:00:00+00:00,12,8,0,0
2026-04-20 00:00:00+00:00,58,25,0,0
2026-04-21 00:00:00+00:00,42,19,0,0
2026-04-22 00:00:00+00:00,95,32,0,0
2026-04-23 00:00:00+00:00,85,26,0,0
2026-04-24 00:00:00+00:00,73,33,0,0
