name,x,y,z
Fc5.,-77.2149,18.6433,24.4600
Fc3.,-60.1819,22.7162,55.5440
Fc1.,-34.0619,26.0111,79.9870
Fcz.,0.3761,27.3900,88.6680
Fc2.,34.7841,26.4379,78.8080
Fc4.,62.2931,23.7228,55.6300
Fc6.,79.5341,19.9357,24.4380
C5..,-80.2801,-13.7597,29.1600
C3..,-65.3581,-11.6317,64.3580
C1..,-36.1580,-9.9839,89.7520
Cz..,0.4009,-9.1670,100.2440
C2..,37.6720,-9.6241,88.4120
C4..,67.1179,-10.9003,63.5800
C6..,83.4559,-12.7763,29.2080
Cp5.,-79.5922,-46.5507,30.9490
Cp3.,-63.5562,-47.0088,65.6240
Cp1.,-35.5131,-47.2919,91.3150
Cpz.,0.3858,-47.3180,99.4320
Cp2.,38.3838,-47.0731,90.6950
Cp4.,66.6118,-46.6372,65.5800
Cp6.,83.3218,-46.1013,31.2060
Fp1.,-29.4367,83.9171,-6.9900
Fpz.,0.1123,88.2470,-1.7130
Fp2.,29.8723,84.8959,-7.0800
Af7.,-54.8397,68.5722,-10.5900
Af3.,-33.7007,76.8371,21.2270
Afz.,0.2313,80.7710,35.4170
Af4.,35.7123,77.7259,21.9560
Af8.,55.7433,69.6568,-10.7550
F7..,-70.2629,42.4743,-11.4200
F5..,-64.4658,48.0353,16.9210
F3..,-50.2438,53.1112,42.1920
F1..,-27.4958,56.9311,60.3420
Fz..,0.3122,58.5120,66.4620
F2..,29.5142,57.6019,59.5400
F4..,51.8362,54.3048,40.8140
F6..,67.9142,49.8297,16.3670
F8..,73.0431,44.4217,-12.0000
Ft7.,-80.7750,14.1203,-11.1350
Ft8.,81.8151,15.4167,-11.3300
T7..,-84.1611,-16.0187,-9.3460
T8..,85.0799,-15.0203,-9.4900
T9..,-85.8941,-15.8287,-48.2830
T10.,85.5599,-16.3613,-48.2710
Tp7.,-84.8302,-46.0217,-7.0560
Tp8.,85.5488,-45.5453,-7.1300
P7..,-72.4343,-73.4527,-2.4870
P5..,-67.2723,-76.2907,28.3820
P3..,-53.0073,-78.7878,55.9400
P1..,-28.6203,-80.5249,75.4360
Pz..,0.3247,-81.1150,82.6150
P2..,31.9197,-80.4871,76.7160
P4..,55.6667,-78.5602,56.5610
P6..,67.8877,-75.9043,28.0910
P8..,73.0557,-73.0683,-2.5400
Po7.,-54.8404,-97.5279,2.7920
Po3.,-36.5114,-100.8529,37.1670
Poz.,0.2156,-102.1780,50.6080
Po4.,36.7816,-100.8491,36.3970
Po8.,55.6666,-97.6251,2.7300
O1..,-29.4134,-112.4490,8.8390
Oz..,0.1076,-114.8920,14.6570
O2..,29.8426,-112.1560,8.8000
Iz..,0.0045,-118.5650,-23.0780
